episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
20,1824,1758,1462,0.036184211,46675.76155,106917.4294,2904.560515,4176.687994,15,4.979961765,2.039777079,4.995685923,1.332045221,1.617811796,41.79105946,1.592412563,5.180802978,36.6,2.289850874,5.534621411,9,4.833333333,1.263812574,46.26315789,19.47830671,38.47368421,19.58347429,1.501325675,1.809426689,3.60474917,0,0,0.318525588,0.345366949,0,0,0,3.209314804,0,1.190299968,1.161962311,0,0,0.451322082,1.118785981,1.248915832,0.447445476,0,3.221544089,2.815384615,2.666470481,3.675302903,2.547894444,0,0,1.333584952,0.673640283,1.882682777,2.394161125,1.135928258,0.674143451,0.858923124,0.277836075,1.011008042,0.791700174,1.971589987,2.478079193,0,1.495622551,6.527422337,8.17767248,3.46207377,1.084043141,0,5.651561648,3.66,0,0,2.15321463,2433.636978
21,1806,1723,1436,0.045957918,45719.3138,104621.82,3306.6211,4365.361416,14.86504928,4.898789864,1.938314138,4.994721701,1.317190643,1.618929117,44.46402463,1.830908693,5.548493962,36.6,2.417143641,5.626453638,9,4.869791667,1.570802594,45.34210526,18.8697423,37.78947368,19.03619529,1.727013907,2.307274617,0.206292667,9.15,0,1.041725326,0,0,0,0,2.895181565,0,0,0,0,0,1.417346425,1.276428148,0.762717154,1.144646867,0,11.46236525,1.363633305,1.493162087,3.441867654,2.699803637,0,0,1.229075163,1.037661979,1.785821605,2.716170678,1.195874121,0.895187379,1.029115622,1.258640652,2.094630223,1.52251411,1.863346806,3.446145087,0,2.44417617,6.962953007,2.638299877,3.415749019,4.257530095,1.713487252,4.38822012,0.373912374,0,0,2.378838693,2441.360971
22,1869,1790,1506,0.042268593,46993.54766,107122.8469,3518.336629,4753.928874,15,4.960952036,2.026480024,4.997282751,1.417875748,1.682728348,36.6,1.882470106,5.730946703,36.6,2.543568151,5.923958915,10,4.921875,1.613465675,47.10526316,20.32212882,39.63157895,20.22950041,1.59040603,1.925499317,0,0,0,0.760449764,0,0,0,2.2875,1.47548683,0,0.437129956,1.721446951,0,0.085769545,1.640411914,1.053073164,1.437641656,0.188888889,0,1.48645738,0.232553018,2.538952149,4.037313558,2.515812732,0,0,1.421769725,0.76861672,1.719776627,2.800599628,0.941626838,0.920635211,0.844850862,1.942876474,2.631008217,1.043933581,2.369115163,2.270714015,0,2.793746022,6.938641012,8.649919127,6.972999236,1.996204013,0.330035732,4.32393974,0.283333333,4.066666667,0,3.490665343,2404.15191
23,1925,1801,1546,0.064415584,47523.07232,105816.6188,4064.720431,5292.834423,15,5.008203031,2.074545022,4.998402609,1.506078659,1.671523165,45.10654224,2.111543081,6.432025147,36.6,2.749524376,6.531058417,10,5.09375,1.711347696,47.39473684,20.47660986,40.68421053,21.45142035,2.004940597,2.305603652,5.875447789,0,0,0.476365059,0,0,0,0,0,0,1.920810593,2.1879189,0,0.560023696,1.202854621,0.934682976,1.456375639,0.85704407,0,8.994226051,1.229981795,1.687305451,3.59750015,2.459636585,0,0,5.678252617,0.937639303,1.705900753,3.080447505,1.555272641,0.419361139,0.767985554,1.524583792,1.6588268,1.548224204,2.819180818,3.136446757,0,3.168365342,7.914973996,5.493184006,1.799115665,2.075981671,3.851030454,3.66,2.857142857,9.15,0,2.617148562,2426.322039
24,1834,1745,1487,0.048527808,45798.84831,104255.4956,3303.551266,4415.27744,15,4.965846443,2.090115441,4.999942633,1.311116702,1.612050293,40.73634955,1.801282043,5.690988478,36.6,2.40745771,6.027209716,9,5.067708333,1.594456202,45.92105263,20.43910285,39.13157895,21.46253903,1.576759247,2.141396809,0,0,0,0.08842656,0,0,0,0,2.327839838,0,0.611443074,0.45885388,0,0,1.245567376,2.333671961,1.140123879,0.977038376,0,6.870749802,1.525,4.280412169,3.471322942,2.166290012,0,0,1.405443626,1.118624859,1.281719007,1.802108845,1.626666579,0.97301477,1.372996885,1.534407613,1.352075391,1.148014945,1.220516629,2.813919945,0,4.222148288,5.866560287,11.6312886,1.459047057,2.65890564,0,2.210337612,0,4.066666667,0,2.420988483,2388.380431
25,1722,1633,1368,0.051684088,43876.76778,97654.44375,3133.167014,4136.49657,15,4.948955925,2.063229856,4.995268868,1.344546788,1.654739489,39.62965179,1.819493039,5.721790227,36.6,2.402146672,5.884949625,10,5,1.692508001,42.97368421,21.46047388,36,21.15357379,1.73841237,2.400808101,9.15,0,0,0,0,0,0,0,0,0.708699348,0.582713084,1.5508338,0,0,0.878187975,1.277260922,0.828676772,1.136003821,0,12.19077276,4.400300445,1.496940444,3.507342361,2.236980051,0.10964729,0,2.65060118,0.203482852,0.981473204,2.379232766,1.472549926,1.603242218,1.239292266,1.648243618,2.463577427,1.770848467,2.474179264,2.509030776,0,1.544227035,4.742944835,0.812609044,4.062134112,6.59407766,1.584100416,4.392,0,0,0,1.889722947,2330.576074
26,1830,1753,1493,0.042076503,47337.62909,104378.415,3562.067959,4601.576637,14.93478337,4.986047052,2.055289345,4.997973773,1.343992573,1.622139314,38.99337092,1.946485223,5.973735179,36.6,2.514522753,5.995256974,10,4.869791667,1.787900293,46.13157895,19.25886133,39.28947368,19.7282964,1.543480867,1.863809396,0,0,0,0.640451889,0.275503802,0,0,1.83,2.046993114,0.516086872,0.277028111,2.769691171,0,0.352073716,0.80111778,1.553255416,1.362603382,0.250301335,0.617321027,1.604666275,0.572771068,1.45534971,4.072248137,1.999580458,0,0,3.392701091,0.934602327,1.639308796,2.070538517,1.773502429,1.306016527,0.711082878,1.644501633,1.66162265,0.230574536,3.874200804,2.659345253,0,1.382705031,8.43289786,8.451267826,0.199937694,1.480921326,4.305882353,4.041909705,2.44,0,0,2.981129835,2418.113417
27,1779,1683,1421,0.053962901,44646.35774,100721.0381,3171.142819,4506.030917,14.9419844,4.882172529,1.916442263,4.996339628,1.292729271,1.607655405,36.76893391,1.782542338,5.905700333,36.6,2.532901021,6.400996837,10,4.890625,1.907636961,44.28947368,19.73763156,37.39473684,19.93349399,1.888479771,2.218329071,2.2875,0,0,0.270779718,0,0,0,3.327272727,0.222376519,0.49228687,0,0,0,0,1.493899655,1.05212275,1.3958608,0,0,7.882556962,1.26892649,2.136289521,3.299513808,2.093180796,1.154714909,0,5.958484131,0.889649189,1.789559597,2.3585181,0.755256522,0.655114833,0.434289208,0.880427006,1.724085815,2.636383644,2.062191104,2.317468809,0,2.334297546,7.71161515,4.422083122,7.486350333,3.0728381,4.528599853,6.862217941,4.97952731,0.299269937,0,1.694791713,2370.772381
28,1880,1776,1526,0.055319149,47622.4505,103931.1263,3246.581384,4399.062627,15,4.943292726,2.011239939,4.996673815,1.309294666,1.630991229,38.83423985,1.726904992,5.396173134,36.6,2.339926929,5.669996643,9,4.895833333,1.607140101,46.73684211,20.38147277,40.15789474,20.47273709,1.774493976,2.516092089,0,0,0,0.289803148,0,0,0,10.45714286,2.925,0,0.339899843,0,0,0,1.312851968,1.617302172,0.976945956,0,0,12.26563103,2.663957414,1.011531441,3.52982667,2.508128809,0,0,3.638465268,0.452474854,1.895591116,2.720949795,1.737363346,1.226428185,0.261538462,0.170402749,1.682868938,1.152638305,2.984627341,3.297160414,0,2.016121381,3.941359142,0.341141988,2.431454205,2.099158848,0.377777778,7.32,3.237994755,4.066666667,0,2.23557362,2406.856852
29,1834,1768,1488,0.035986914,46451.70695,105532.5937,3114.359103,4356.092283,14.99329215,4.948775313,1.971422047,4.997358772,1.365296538,1.634398684,37.2973127,1.698123829,5.769793558,36.6,2.375186632,5.993356667,10,4.875,1.494782593,46.52631579,22.54555253,39.15789474,21.97908853,1.6695695,2.303014221,0,0,0,0,0,0,0,0,5.006102494,0,2.545207775,1.482107201,0,0.285420063,0.487481157,0.897970456,2.158454083,0.279163057,0,12.24560829,3.38561638,3.224475885,3.438267229,2.013946399,1.275,0,4.352313209,0.484113516,1.732154164,2.872040624,1.357567688,0.177995979,0.84951169,0.501473398,1.330521334,0.646431284,1.81226436,3.321415871,0,1.771237143,7.132495548,5.518459562,1.178258694,0.073414306,0,3.717011784,4.255404888,0,0,1.926994633,2323.499842
30,1755,1659,1389,0.054700855,43344.93666,99845.25562,3032.147054,4351.356165,15,4.997204339,2.034323945,4.998916533,1.346344134,1.659601643,45.13855484,1.727719119,5.521228834,36.6,2.479405222,6.138602338,10,4.984375,1.748441456,43.65789474,20.07915431,36.55263158,20.40987554,1.480067981,1.786419796,0,0,0,0.222276455,0,0,0,0,3.553414169,0,0,1.086913504,0,0.346758537,0.708964884,1.282983607,1.891154559,0.940428148,0,2.280070132,2.512691638,2.46702864,3.249056415,2.512639143,0,0,2.230303981,1.92889123,1.156354345,2.469817118,1.64541053,0.7961151,0,1.452655065,2.558074037,0.668025851,2.447290614,2.505626194,0,2.151032198,7.935338937,6.319164771,1.404528076,4.047319086,0.188888889,6.359948547,1.204166667,0,0,1.774520588,2285.110642
