episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
21,1806,1740,1477,0.03654485,45587.78914,103013.5369,1540.672324,2752.687677,15,5.750465514,2.88770553,4.827830899,0.277136488,0.778508047,36.6,0.853085451,3.808276037,36.6,1.524190297,4.365736294,10,5.776041667,1.793172514,45.78947368,28.43289227,38.86842105,27.46305753,1.04637328,1.892047638,0.206292667,0.193043663,0,0.713735471,0,0,0,0,0.331134357,0,0,0,0,0,0.282741335,0.57907576,0.406233772,0.169295462,0,11.95165263,1.113069307,2.041670092,2.087862623,1.977635123,0,0,1.684976913,0.792199789,0.582474456,0.660307873,0.610137695,0.397523527,0.489533267,0.630020837,1.762463554,0.721410661,1.280416492,2.619611891,0,1.492178467,4.890694015,0.728567083,2.932258162,2.74077194,3.226053014,0.603336432,0.373912374,0,0,0.54199922,0
22,1869,1782,1520,0.046548957,46928.25824,104811.5625,1368.813235,2658.117638,15,5.671839719,2.79368112,4.872825038,0.253567601,0.768502688,36.6,0.732377333,3.549496466,36.6,1.422213825,4.297620222,10,5.588541667,1.837818555,46.89473684,27.66699485,40,26.50719863,0.809518027,1.187016673,0,0,0,0.370711081,0,0,0,0.2125,0.096312643,0,0.285136391,0.485714286,0,0,0.412343149,0.698447592,0.504562342,0.188888889,0,1.32274167,0.232553018,1.979881885,2.111781237,1.003388538,0,0,1.108396061,0.695494056,0.640852688,0.841798486,0.593679688,0.650689118,0.53358306,0.018634872,1.657572926,0.368154811,2.569152537,1.858085419,0,2.181389418,5.607410139,0,3.313406175,2.09167146,0.180846344,4.472012882,0.283333333,0.095257148,0,0.55963259,0
23,1925,1809,1552,0.06025974,48048.81718,105532.3706,2083.352658,3468.948569,15,5.847549438,2.94254862,4.937181205,0.357673389,0.915118917,36.72438362,1.082261121,4.575229632,36.6,1.802051205,5.279664019,10,5.46875,1.965605955,47.60526316,28.88501658,40.84210526,27.53708152,1.199257568,1.735293999,3.05,0,0,0.07471545,0,0,0,0,0,0,0.265515618,1.464091164,0,0.560023696,0.151483924,0.562048238,0.421162544,0.249989249,0,7.336478933,0.72730616,1.019415482,1.774953554,1.601105186,0,0,3.706284665,0.765075259,1.010820735,1.257203853,0.707040126,0.447195072,0.85,1.138173686,1.122680378,0.848425861,3.410680554,2.198555575,0,2.426315554,7.445411131,6.015661658,1.041915639,1.849607481,1.886135514,0.305370728,0.242857143,0.829921038,0,0.57835755,0
24,1834,1746,1490,0.047982552,46463.95121,103624.5956,1672.54567,2927.943869,15,5.667381705,2.84639845,4.904606865,0.296078038,0.812324572,33.4538098,0.911966014,4.066402465,36.6,1.596479754,4.79153064,9,5.661458333,1.783890282,45.94736842,30.31496709,39.21052632,28.91289814,0.961863671,1.564984079,0,0,0,0.271662359,0,0,0,0,0.536842105,0,0.274523005,0.278552721,0,0,0.375081337,0.635999539,0.204183832,0.377915008,0,1.615256534,1.130497845,3.10121287,1.833557223,1.310135271,0,0,1.396574807,0.762904234,0.914432432,0.596412363,1.377085521,0.570357236,0.620875754,0.547145512,1.276797898,0.432048256,2.143961437,3.16392001,0,2.629473491,5.44214739,8.941460235,1.875944838,0.745591784,0.169938753,1.350678328,0,0.228149948,0,0.563570318,0
25,1722,1653,1405,0.040069686,44703.27049,96896.67375,1125.39088,2134.408234,15,5.610019093,2.731337566,4.831606868,0.30423139,0.841787277,36.6,0.653537096,3.29528466,36.6,1.239493748,3.565889403,10,5.442708333,1.706863888,43.5,28.51846124,36.97368421,26.97512191,0.775034136,0.808235761,0.339335881,0,0,0,0,0,0,0,0,0.2305112,0.167980053,1.133333333,0,0,0.414190036,0.948878874,0.253344379,0,0,2.928243944,1.768754256,1.033492376,1.693986644,1.560124725,0.292902608,0,1.717890171,0.316072436,0.949930749,0.785355812,0.975742745,1.023992118,0.846522084,0.41593726,1.091716924,1.003598601,2.037964569,2.226259126,0,1.269303247,2.003159242,1.753071576,0.874873801,2.671656015,1.527201679,1.721346197,0,0,0,0.526331388,0
26,1830,1756,1500,0.040437158,47496.9765,103499.6137,1507.214423,2653.449531,15,5.599724724,2.744188648,4.707600374,0.254695665,0.750899255,40.4484118,0.823614439,3.970292663,36.6,1.449972421,4.254495515,10,5.723958333,1.814825795,46.21052632,27.7670364,39.47368421,26.47017869,0.873116898,1.274831653,0,0,0,0,0.11507429,0,0,0.158848711,0.232824112,0.232753539,0.042247309,1.789444756,0,0.879660143,0.597761258,0.594691961,0.385533068,0,0.617321028,0.650524174,0.422962284,0.912990213,2.308260736,1.828990915,0,0,2.565954662,0.796385764,0.724466087,0.425249695,0.802856323,0.169648705,0,0.217985782,1.062810121,0.121428571,2.270514872,2.095296286,0,1.370135856,5.538846692,5.581503689,0.243309442,1.401536725,2.252351901,3.372558348,0,0,0,0.464193002,0
27,1779,1685,1430,0.052838673,45007.3973,99576.50625,1465.73175,2510.000974,15,5.635753431,2.789966104,4.801571998,0.246321723,0.763748312,36.60000001,0.823907673,3.990461689,36.6,1.41090555,4.423314863,10,5.401041667,1.958049348,44.34210526,27.38062734,37.63157895,26.16488311,0.952960485,1.345398096,0,0,0,0.028826749,0,0,0,0.297656052,0.222376519,0.149868223,0,0,0,0,0.682766491,0.614100412,0.461293891,0,0,1.960715998,0.164221503,2.071545137,1.713687454,1.354539032,0.899347836,0,4.394935177,0.721452795,0.949781546,0.453551319,0.682516165,0.0731065,0.087233714,0.441702102,1.232844769,1.197184216,1.847392071,2.014211733,0,1.862205352,5.558175117,4.233609073,4.388040767,1.374057501,0.410640152,3.499488363,0.587768704,0.064221308,0,0.493378748,0
28,1880,1788,1535,0.04893617,48315.34834,104168.1,1437.894602,2587.780995,15,5.725502887,2.838658327,4.970426241,0.322167571,0.859089668,38.52778487,0.764837554,3.504187109,36.6,1.376479253,3.804950586,10,5.328125,1.794563731,47.05263158,28.75023786,40.39473684,27.21410187,1.031934706,1.573940646,3.66,0,0,0.191272032,0,0,0,0.828678269,0.6375,0,0.420076351,0,0,0,0.410550243,0.901291688,0.563157886,0,0,9.035797423,0.316366376,0.622527654,1.89035647,1.343256621,0,0,1.671271741,0.419320155,1.275348267,1.303893415,0.885328661,0.417171705,0.261538462,0.170402749,1.157848421,1.110807386,2.159644378,1.571071706,0,1.957908882,2.90402314,3.998486452,3.310423008,3.62638712,0.377777778,0.465838139,0.471328088,0.228149948,0,0.551439078,0
29,1834,1768,1499,0.035986914,46728.99701,104295.2944,1484.273278,2700.95091,15,5.616046536,2.794344289,4.973318977,0.283012467,0.830384486,36.6,0.809309312,3.973994558,36.6,1.47271042,4.665649012,9,5.5,1.564581946,46.52631579,28.80856675,39.44736842,27.60119884,1.099099645,1.721976598,0,0,0,0,0,0,0,0,0.438608161,0,0.043641053,1.690857435,0,0.106416001,0.071686539,0.133882407,0.183585611,0.464590668,0,8.707500345,4.684422417,3.577553439,1.699724581,1.227587338,0.571201722,0,3.738838934,0.24730837,1.132658776,1.164947142,0.813761378,0.404088579,0.674579549,0,0.871666511,0.329673349,2.018636903,2.393480996,0,1.612103703,4.593991937,4.751043807,0.095527601,0.979927742,0,1.929925889,2.502463711,0,0,0.472577618,0
30,1755,1667,1418,0.05014245,43734.30325,97637.60625,1364.978228,2881.666457,15,5.730599711,2.834311362,4.982345819,0.277985141,0.822065926,44.76732219,0.777765372,3.875197213,36.6,1.641975189,4.904778884,10,5.677083333,1.796958029,43.86842105,28.43568093,37.31578947,26.91419628,1.084567396,1.596327655,0,0,0,0,0,0,0,0,0.328672018,0,0,1.133333333,0,0.585033764,0.561667997,0.245587939,0.594667611,0.256126623,0,0.885579602,2.862315635,1.563271841,2.056505958,1.042836298,0,0,1.54645905,1.985114494,0.730817239,0.929772366,0.846960865,0.14834134,0,1.062972427,1.387068772,0.615627052,2.672983252,1.476998852,0,2.076219028,5.468505018,8.11186108,0.646209831,4.662981481,0.188888889,2.084708457,3.9,0.485714286,0,0.411399722,0
