id,type,center,bound,centroid,boundary_points,demand,envy,subsidy,Envies,Subsidies
20,suburb,"(31.988096999999993, 118.528373)","(31.948096999999986, 32.02809699999999, 118.473373, 118.583373)","(118.528373, 31.988096999999993)","[(118.473373, 31.948096999999986), (118.473373, 32.02809699999999), (118.583373, 32.02809699999999), (118.583373, 31.948096999999986), (118.473373, 31.948096999999986)]",0,0,0,[],[]
21,centre,"(31.988096999999993, 118.63837299999999)","(31.948096999999986, 32.02809699999999, 118.583373, 118.693373)","(118.63837299999999, 31.988096999999993)","[(118.583373, 31.948096999999986), (118.583373, 32.02809699999999), (118.693373, 32.02809699999999), (118.693373, 31.948096999999986), (118.583373, 31.948096999999986)]",0,0,0,[],[]
22,centre,"(31.988096999999993, 118.748373)","(31.948096999999986, 32.02809699999999, 118.693373, 118.803373)","(118.748373, 31.988096999999993)","[(118.693373, 31.948096999999986), (118.693373, 32.02809699999999), (118.803373, 32.02809699999999), (118.803373, 31.948096999999986), (118.693373, 31.948096999999986)]",0,0,0,[],[]
23,centre,"(31.988096999999993, 118.858373)","(31.948096999999986, 32.02809699999999, 118.803373, 118.91337299999999)","(118.858373, 31.988096999999993)","[(118.803373, 31.948096999999986), (118.803373, 32.02809699999999), (118.91337299999999, 32.02809699999999), (118.91337299999999, 31.948096999999986), (118.803373, 31.948096999999986)]",0,0,0,[],[]
24,suburb,"(31.988096999999993, 118.96837299999999)","(31.948096999999986, 32.02809699999999, 118.91337299999999, 119.02337299999999)","(118.96837299999999, 31.988096999999993)","[(118.91337299999999, 31.948096999999986), (118.91337299999999, 32.02809699999999), (119.02337299999999, 32.02809699999999), (119.02337299999999, 31.948096999999986), (118.91337299999999, 31.948096999999986)]",0,0,0,[],[]
25,suburb,"(31.995769005550457, 119.06387669271031)","(31.948096999999986, 32.02809699999999, 119.02337299999999, 119.121634)","(119.06387669271031, 31.995769005550457)","[(119.094934, 32.027998), (119.094311, 32.022237), (119.096366, 32.018332), (119.097903, 32.011241), (119.092361, 32.004122), (119.092896, 32.002793), (119.100871, 32.002322), (119.102812, 32.004884), (119.107503, 32.00343), (119.112474, 32.000452), (119.11416, 31.997889), (119.114222, 31.988192), (119.115838, 31.986391), (119.121634, 31.984826), (119.121125, 31.977552), (119.118587, 31.977996), (119.115987, 31.979908), (119.113914, 31.979838), (119.111745, 31.974989), (119.111042, 31.969475), (119.107942, 31.965789), (119.102962, 31.965581), (119.096708, 31.969502), (119.095136, 31.97122), (119.090121, 31.97413), (119.082849, 31.974241), (119.079625, 31.972758), (119.077333, 31.970597), (119.07375, 31.969613), (119.070421, 31.972357), (119.064888, 31.973424), (119.053101, 31.968768), (119.046847, 31.968546), (119.041525, 31.963627), (119.034402, 31.962255), (119.029246, 31.957086), (119.029325, 31.950268), (119.03073101716288, 31.948096999999986), (119.02337299999999, 31.948096999999986), (119.02337299999999, 32.02809699999999), (119.0948730480701, 32.02809699999999), (119.094934, 32.027998)]",0,0,0,[],[]
26,suburb,"(32.05923786023521, 118.43549113127163)","(32.02809699999999, 32.10809699999999, 118.385023, 118.473373)","(118.43549113127163, 32.05923786023521)","[(118.386622, 32.030172), (118.385972, 32.033121), (118.387983, 32.042246), (118.388607, 32.043326), (118.393306, 32.046012), (118.39436, 32.048407), (118.392032, 32.053183), (118.388001, 32.053875), (118.385085, 32.058111), (118.385023, 32.060755), (118.388282, 32.063149), (118.390047, 32.062028), (118.393279, 32.062679), (118.395563, 32.066292), (118.396942, 32.072202), (118.394746, 32.075565), (118.395765, 32.077184), (118.400016, 32.077779), (118.403643, 32.074804), (118.40504, 32.075371), (118.404671, 32.079689), (118.405453, 32.080782), (118.411161, 32.080519), (118.412769, 32.081557), (118.415096, 32.087425), (118.420024, 32.085529), (118.42582, 32.086276), (118.433514, 32.086678), (118.434217, 32.0904), (118.438195, 32.08856), (118.441085, 32.092033), (118.444765, 32.093873), (118.447585, 32.094261), (118.449894, 32.097859), (118.453285, 32.096973), (118.458054, 32.100723), (118.460171, 32.101387), (118.462876, 32.100653), (118.47055042812171, 32.10809699999999), (118.473373, 32.10809699999999), (118.473373, 32.02809699999999), (118.3887843367199, 32.02809699999999), (118.386622, 32.030172)]",0,0,0,[],[]
27,suburb,"(32.06809699999999, 118.52837299999999)","(32.02809699999999, 32.10809699999999, 118.473373, 118.583373)","(118.52837299999999, 32.06809699999999)","[(118.473373, 32.02809699999999), (118.473373, 32.10809699999999), (118.583373, 32.10809699999999), (118.583373, 32.02809699999999), (118.473373, 32.02809699999999)]",0,0,0,[],[]
28,centre,"(32.06809699999999, 118.638373)","(32.02809699999999, 32.10809699999999, 118.583373, 118.693373)","(118.638373, 32.06809699999999)","[(118.583373, 32.02809699999999), (118.583373, 32.10809699999999), (118.693373, 32.10809699999999), (118.693373, 32.02809699999999), (118.583373, 32.02809699999999)]",0,0,0,[],[]
29,centre,"(32.06809699999999, 118.74837300000002)","(32.02809699999999, 32.10809699999999, 118.693373, 118.803373)","(118.74837300000002, 32.06809699999999)","[(118.693373, 32.02809699999999), (118.693373, 32.10809699999999), (118.803373, 32.10809699999999), (118.803373, 32.02809699999999), (118.693373, 32.02809699999999)]",0,0,0,[],[]
