episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
20,1824,1754,1475,0.038377193,47005.6465,105081.75,105081.75,0,4303.554844,14.64884868,4.93597021,1.983944232,4.999831268,1.384874022,1.645995678,36.6,2.359405068,5.552113877,0,0,0,8,4.71875,1.351720547,46.15789474,20.16709973,38.81578947,19.76953433,1.517548092,1.871852875,0,0,2.184764917,3.835112858,0,0,2.669610634,7.700976511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691278155,2572.919258
21,1806,1727,1449,0.043743079,47073.1078,103960.905,103960.905,0,4288.627659,14.98189657,4.970286534,2.077453161,4.998402609,1.242310201,1.591763803,36.6,2.374655403,5.771882926,0,0,0,9,4.885416667,1.47810261,45.44736842,20.30905602,38.13157895,20.15880512,1.729381456,2.106264071,0,0,2.065267523,4.003890459,0,0,2.864630202,7.764964787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.586831438,2542.041702
22,1869,1782,1503,0.046548957,48456.65308,106505.16,106505.16,0,4845.120533,15,4.947992991,2.032582316,4.998402609,1.441528215,1.701802158,36.6,2.592359836,6.033879494,0,0,0,10,4.927083333,1.586037986,46.89473684,19.04950541,39.55263158,18.8912363,1.664559547,1.651323453,0,0,2.277067521,3.859790301,0,0,3.115305552,8.464366476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.399483195,2563.113692
23,1925,1796,1531,0.067012987,49374.97241,106218.5944,106218.5944,0,5646.542121,15,5.031750228,2.168155934,4.989823269,1.413084598,1.63372178,36.6,2.933268634,6.932922278,0,0,0,10,5,1.881931632,47.26315789,20.00879308,40.28947368,20.56300702,2.186595203,2.477784249,0,0,2.601702712,5.285930847,0,0,3.457285018,8.911911799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067362258,2579.198853
24,1834,1752,1492,0.044711014,47835.06777,104469.6581,104469.6581,0,4558.444666,15,5.009058897,2.0975969,4.999942633,1.367125451,1.616895863,36.6,2.485520538,6.094353934,0,0,0,9,5.072916667,1.569532784,46.10526316,21.3699118,39.26315789,21.37840057,1.47122253,2.178502396,0,0,2.170060139,3.86634181,0,0,2.960434963,8.377104902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86322849,2563.762273
25,1722,1640,1380,0.047619048,45502.59321,97490.92125,97490.92125,0,4217.54986,15,4.943988003,1.974601012,4.995268868,1.319079952,1.626485801,36.6,2.449215947,5.959242909,0,0,0,10,4.989583333,1.719949077,43.15789474,22.36129918,36.31578947,21.5114477,1.555720282,1.724555547,0,0,2.233672396,4.474879765,0,0,2.776312739,7.670647991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.584141422,2530.16628
26,1830,1745,1474,0.046448087,48981.022,104829.6338,104829.6338,0,4692.574387,14.96155147,4.989551947,2.053884617,4.998377628,1.432690434,1.657935352,36.6,2.564248299,6.062838184,0,0,0,10,4.916666667,1.687371394,45.92105263,18.80422906,38.78947368,18.84864632,1.452958391,1.780996342,0,0,2.363627202,4.565928077,0,0,2.905126624,7.975391183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.273494433,2518.999373
27,1779,1675,1422,0.058459809,46084.6482,99411.40125,99411.40125,0,4215.322262,15,4.955344596,2.071098301,4.996716636,1.349354671,1.646224671,36.6,2.369489748,5.995635042,0,0,0,9,4.927083333,1.786784773,44.07894737,18.11277766,37.42105263,18.53677934,1.823980899,1.910983937,0,0,1.983723826,3.855796786,0,0,2.989995931,8.320533116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42153155,2514.580992
28,1880,1791,1532,0.047340426,49501.26997,105274.4194,105274.4194,0,4465.997212,15,5.026709206,2.181247244,4.997112596,1.416237355,1.67419353,36.6,2.375530432,5.678611011,0,0,0,8,5.104166667,1.540962677,47.13157895,20.22266973,40.31578947,19.82834927,1.827312268,2.28677523,0,0,2.094461025,3.829720798,0,0,2.816333273,7.713560938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.819645625,2491.913799
29,1834,1754,1469,0.043620502,48027.08341,105162.2006,105162.2006,0,4450.436045,15,4.926445455,1.963981271,4.999646926,1.422275764,1.650582881,36.6,2.42662816,5.947782589,0,0,0,9,4.973958333,1.397299836,46.15789474,20.25693684,38.65789474,20.01877581,1.666453904,1.983338251,0,0,2.302303376,4.414027119,0,0,2.63132452,7.840610855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68756239,2460.342195
30,1755,1663,1379,0.052421652,45169.98731,100964.4375,100964.4375,0,4656.840967,15,5.021815145,2.158394193,4.987980992,1.416842908,1.677935107,36.6,2.653470637,6.431077838,0,0,0,9,4.885416667,1.603185577,43.76315789,20.2099952,36.28947368,20.10617592,1.961170809,2.360897791,0,0,2.381012447,4.652323349,0,0,3.062157921,8.405495885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552344788,2509.79946
31,1812,1743,1458,0.03807947,48923.41772,104812.0031,104812.0031,0,4202.638068,15,4.907203795,2.00168528,4.995685923,1.452596228,1.696510123,36.6,2.319336682,5.579367412,0,0,0,10,5.046875,1.646616045,45.86842105,20.98391747,38.36842105,20.65814616,1.325433871,1.382275105,0,0,2.486171017,4.970636211,0,0,2.022514858,6.512877143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.780398358,2461.162355
32,1832,1768,1479,0.034934498,48274.03352,106711.4381,106711.4381,0,4404.460757,14.9742774,5.048107632,2.1671463,4.984444764,1.524791147,1.680747473,36.6,2.404181636,5.568514412,0,0,0,9,5.088541667,1.492157959,46.52631579,19.87955422,38.92105263,19.54129444,1.552778169,2.017616961,0,0,2.254147341,4.105778988,0,0,2.657172017,7.400535996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4720325,2422.887953
33,1847,1776,1490,0.038440715,48563.01034,107592.0844,107592.0844,0,4506.330865,15,5.007339337,2.112904401,4.995685923,1.436765171,1.669749917,36.6,2.439810972,5.598595617,0,0,0,9,5.046875,1.370405439,46.73684211,19.49451233,39.21052632,19.75662167,1.803139309,2.407325477,0,0,2.292245286,4.059327735,0,0,2.68610919,7.487319615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.071910082,2407.994476
34,1897,1815,1540,0.043226147,49492.81626,107504.4244,107504.4244,0,4904.8289,15,5.027977327,2.124916361,4.985817639,1.459284564,1.67220503,36.6,2.585571376,5.853244575,0,0,0,10,4.932291667,1.626793548,47.76315789,20.38631405,40.52631579,19.98780792,1.938407775,2.82697604,0,0,2.556055383,4.678201407,0,0,2.637676139,7.490107636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.242895473,2414.13834
35,1772,1708,1430,0.036117381,47510.25443,103520.5987,103520.5987,0,4250.746363,15,4.842945577,1.896241638,4.993969471,1.535789944,1.722119384,36.6,2.398841063,5.77357363,0,0,0,10,5.104166667,1.683121893,44.94736842,20.55153646,37.63157895,20.48930537,1.759877854,2.022068691,0,0,2.201228665,4.043766939,0,0,2.701470335,7.693480355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.468641125,2387.0424
36,1807,1708,1420,0.05478694,47081.50235,104070.7312,104070.7312,0,4772.062135,15,4.922268946,1.979858604,4.995685923,1.531091801,1.690066596,36.6,2.640875559,6.337920696,0,0,0,9,4.755208333,1.499122646,44.94736842,19.09112134,37.36842105,18.86575992,1.730999419,2.211578332,0,0,2.275331031,4.149784815,0,0,3.256815372,8.844930591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.464905335,2375.851699
