episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
20,1824,1749,1457,0.041118421,39588.31893,106062.9675,106062.9675,0,4343.569428,14.9825441,4.937423344,1.947643457,4.995685923,1.37860324,1.6625787,36.6,2.381342888,5.811241605,0,0,0,9,4.848958333,1.55894561,46.02631579,20.2984143,38.34210526,20.12628069,1.433678654,1.887572482,0,0,2.095250175,3.665687483,0,0,2.889516703,8.335705144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750437545,2227.610314
21,1806,1733,1439,0.040420819,39517.78725,105768.03,105768.03,0,4317.430303,14.9981426,4.931974314,1.983574283,4.999204174,1.305880248,1.618826918,36.6,2.390603712,5.591030844,0,0,0,9,4.916666667,1.621256372,45.60526316,19.82096109,37.86842105,19.85893813,1.532107697,2.073683744,0,0,2.190751592,3.892560492,0,0,2.707107712,7.523673042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714213807,2186.068316
22,1869,1792,1493,0.041198502,40711.47223,108694.6125,108694.6125,0,4584.435994,15,4.97412982,2.05856677,4.997539516,1.441191395,1.677720296,36.6,2.452881752,5.357872143,0,0,0,10,5.046875,1.66861052,47.15789474,19.42126658,39.28947368,19.38923724,1.42192505,1.473622209,0,0,2.481699703,4.205964035,0,0,2.405084126,6.853862464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01715357,2131.572735
23,1925,1805,1527,0.062337662,39506.23373,107733.1219,107733.1219,0,5425.70455,15,4.940615375,2.007548822,4.994475118,1.519965908,1.700106374,36.6,2.818547818,6.725300013,0,0,0,10,4.78125,1.643821291,47.5,20.10073316,40.18421053,20.45901585,1.830386532,2.022503219,0,0,2.514860104,5.002820866,0,0,3.298504675,8.762447781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870644583,2169.120456
24,1834,1742,1476,0.050163577,39142.58267,104525.1994,104525.1994,0,4470.583308,15,4.951589377,2.087179041,4.999942633,1.368743764,1.634935405,36.6,2.437613581,5.883647524,0,0,0,10,5.046875,1.659220018,45.84210526,21.10066888,38.84210526,21.24484621,1.356160205,1.711602933,0,0,2.283031085,4.260661858,0,0,2.670332039,7.701509383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789488622,2138.415593
25,1722,1645,1376,0.044715447,37883.69399,98889.92625,98889.92625,0,4048.84046,15,4.939349256,2.043492857,4.991800967,1.338758809,1.643550991,36.6,2.351243008,5.533783588,0,0,0,8,4.8125,1.644514239,43.28947368,21.93280155,36.21052632,21.62619987,1.395131593,1.483286199,0,0,2.31976245,4.438197906,0,0,2.399016135,6.870108027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660185175,2095.382825
26,1830,1748,1469,0.044808743,40096.81683,105562.1344,105562.1344,0,4645.103791,14.95679472,5.015020234,2.133471349,4.999694394,1.312056175,1.608113552,36.6,2.538308082,6.067108511,0,0,0,9,5.010416667,1.489510488,46,18.81069125,38.65789474,18.84601915,1.52418063,1.774723393,0,0,2.287396836,4.349839681,0,0,2.964635157,8.180222533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942904865,2090.422437
27,1779,1677,1396,0.057335582,38233.95263,102120.7856,102120.7856,0,4530.349476,15,4.940531753,1.959896523,4.996716636,1.373738672,1.65717568,36.6,2.546570813,6.362079109,0,0,0,9,4.786458333,1.642921673,44.13157895,18.66064118,36.73684211,19.1059156,1.771215493,2.113003592,0,0,2.092691453,4.034872683,0,0,3.276637759,8.861762044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635011805,2089.221203
28,1880,1791,1521,0.047340426,41136.54999,106549.8337,106549.8337,0,4437.231864,15,4.978550268,2.081228776,4.999572661,1.375364474,1.646245029,36.6,2.360229715,5.667796672,0,0,0,9,4.947916667,1.666894516,47.13157895,19.98706299,40.02631579,20.14354649,1.82692722,2.458589072,0,0,2.096724712,4.013080353,0,0,2.773486195,7.547655398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827369617,2046.010244
29,1834,1759,1471,0.04089422,39923.93667,105758.3925,105758.3925,0,4446.070714,14.92265777,4.921429069,2.062324468,4.997358772,1.514557326,1.690102716,36.6,2.424247936,5.914526692,0,0,0,9,4.901041667,1.47040207,46.28947368,21.22301121,38.71052632,21.01491688,1.676457561,2.170913102,0,0,2.245792652,4.359850808,0,0,2.718068251,7.819359301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711539507,2043.953458
